strategy,parser,num_chunks,avg_tokens,recall@1,recall@3,recall@5,recall@10
page_level,pipeline,10.8,2562.1,0.423,0.819,0.906,0.906
fixed_256,pipeline,66.8,218.6,0.327,0.614,0.786,0.908
fixed_512_overlap102,pipeline,39.2,442.1,0.477,0.617,0.769,0.86
semantic,pipeline,93.0,160.6,0.292,0.581,0.742,0.898
table_aware,pipeline,53.5,249.3,0.254,0.6,0.692,0.825
recursive,pipeline,46.5,369.4,0.312,0.54,0.667,0.86
element_type,pipeline,37.0,363.2,0.279,0.619,0.661,0.814
fixed_512,pipeline,35.5,444.9,0.264,0.544,0.617,0.748
heading_based,pipeline,34.5,362.8,0.292,0.56,0.612,0.838
